,Episode,Title,Guests,Date,Length (minutes),Q&A
The Pen Addict 1,1,Glossary,,2012-02-09,33,
The Pen Addict 2,2,My Favorite Pens,,2012-02-16,37,
The Pen Addict 3,3,No Joy on the Pen Aisle,,2012-02-23,32,
The Pen Addict 4,4,Paper Chase,,2012-03-01,36,
The Pen Addict 5,5,The Daily Carry,,2012-03-08,28,
The Pen Addict 6,6,"Multi-Pen, Multi-Tasking",,2012-03-22,36,
The Pen Addict 7,7,Not Your Grandfather's Fountain Pen,,2012-03-29,34,
The Pen Addict 8,8,Retro Style,,2012-04-05,31,
The Pen Addict 9,9,Get The Lead Out,,2012-04-12,45,
The Pen Addict 10,10,The Major Haul,,2012-04-18,38,
The Pen Addict 11,11,Analog vs Digital,,2012-04-24,31,
The Pen Addict 12,12,"Houston, We Have A Fountain Pen Problem",,2012-05-03,35,?
The Pen Addict 13,13,The Back to Work Kit,,2012-05-10,43,
The Pen Addict 14,14,Vanished in Customs,,2012-05-17,37,
The Pen Addict 15,15,Casing the Joint,,2012-05-24,41,
The Pen Addict 16,16,Kickstart My Heart,,2012-05-31,45,
The Pen Addict 17,17,Sketchnoting With Mike Rohde,,2012-06-07,46,
The Pen Addict 18,18,Breaking The Bank,,2012-06-14,45,
The Pen Addict 19,19,Brad's Top 5 Pens,,2012-06-21,38,
The Pen Addict 20,20,Myke's Top 5 Pens,,2012-06-21,35,
The Pen Addict 21,21,The Pens That Shall Not be Named,,2012-07-05,39,
The Pen Addict 22,22,It's The Hole Up There,,2012-07-12,42,
The Pen Addict 23,23,That's How An Addict Thinks,,2012-07-19,42,
The Pen Addict 24,24,Storage Wars,,2012-07-24,34,
The Pen Addict 25,25,The Pen Is Mightier Than The Club,,2012-08-02,42,
The Pen Addict 26,26,It's Got Little Curves To It,,2012-08-09,33,
The Pen Addict 27,27,I Need To Take A Shower,,2012-08-16,33,
The Pen Addict 28,28,Nothing Rhymes With Orange,,2012-08-23,38,
The Pen Addict 29,29,We Were On A Break!!!,,2012-11-13,45,
